2025-10-30 21:20:09,354 - \u2705 Success | Error 0.0846 | Source API (Live)
2025-10-31 21:09:42,237 - \u2705 Success | Error 0.0358 | Source API (Live)
2025-10-31 21:10:02,573 - \u2705 Success | Error 0.0362 | Source API (Live)
2025-10-31 21:10:22,502 - \u2705 Success | Error 0.0364 | Source API (Live)
2025-10-31 21:10:42,508 - \u2705 Success | Error 0.0367 | Source API (Live)
2025-10-31 21:11:01,888 - \u2705 Success | Error 0.037 | Source API (Live)
2025-10-31 21:11:22,003 - \u2705 Success | Error 0.0372 | Source API (Live)
2025-10-31 21:11:41,901 - \u2705 Success | Error 0.0374 | Source API (Live)
2025-10-31 21:12:03,054 - \u2705 Success | Error 0.0376 | Source API (Live)
2025-10-31 21:12:22,073 - \u2705 Success | Error 0.0378 | Source API (Live)
2025-10-31 21:12:41,923 - \u2705 Success | Error 0.038 | Source API (Live)
2025-10-31 21:13:02,009 - \u2705 Success | Error 0.0382 | Source API (Live)
2025-10-31 21:13:21,978 - \u2705 Success | Error 0.0383 | Source API (Live)
2025-10-31 21:13:42,842 - \u2705 Success | Error 0.0384 | Source API (Live)
2025-10-31 21:14:01,941 - \u2705 Success | Error 0.0386 | Source API (Live)
2025-10-31 21:14:22,351 - \u2705 Success | Error 0.0387 | Source API (Live)
2025-10-31 21:14:42,120 - \u2705 Success | Error 0.0388 | Source API (Live)
2025-10-31 21:15:02,478 - \u2705 Success | Error 0.0389 | Source API (Live)
2025-10-31 21:15:22,185 - \u2705 Success | Error 0.039 | Source API (Live)
2025-10-31 21:15:42,771 - \u2705 Success | Error 0.0391 | Source API (Live)
2025-10-31 21:16:02,528 - \u2705 Success | Error 0.0391 | Source API (Live)
2025-10-31 21:16:22,399 - \u2705 Success | Error 0.0392 | Source API (Live)
2025-10-31 21:16:42,040 - \u2705 Success | Error 0.0392 | Source API (Live)
2025-10-31 21:17:02,403 - \u2705 Success | Error 0.0393 | Source API (Live)
2025-10-31 21:17:22,175 - \u2705 Success | Error 0.0393 | Source API (Live)
2025-10-31 21:17:42,184 - \u2705 Success | Error 0.0394 | Source API (Live)
2025-10-31 21:18:02,164 - \u2705 Success | Error 0.0394 | Source API (Live)
2025-10-31 21:18:22,883 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:18:43,415 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:19:02,071 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:19:22,101 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:19:43,278 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:20:02,120 - \u2705 Success | Error 0.0396 | Source API (Live)
2025-10-31 21:20:22,237 - \u2705 Success | Error 0.0396 | Source API (Live)
2025-10-31 21:20:42,348 - \u2705 Success | Error 0.0396 | Source API (Live)
2025-10-31 21:21:02,224 - \u2705 Success | Error 0.0396 | Source API (Live)
2025-10-31 21:21:22,160 - \u2705 Success | Error 0.0396 | Source API (Live)
2025-10-31 21:21:42,095 - \u2705 Success | Error 0.0396 | Source API (Live)
2025-10-31 21:22:03,396 - \u2705 Success | Error 0.0396 | Source API (Live)
2025-10-31 21:22:22,291 - \u2705 Success | Error 0.0396 | Source API (Live)
2025-10-31 21:22:42,181 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:23:02,156 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:23:22,305 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:23:42,291 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:24:02,205 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:24:22,341 - \u2705 Success | Error 0.0395 | Source API (Live)
2025-10-31 21:24:42,304 - \u2705 Success | Error 0.0394 | Source API (Live)
2025-10-31 21:25:03,850 - \u2705 Success | Error 0.0394 | Source API (Live)
2025-10-31 21:25:22,213 - \u2705 Success | Error 0.0394 | Source API (Live)
2025-10-31 21:25:43,183 - \u2705 Success | Error 0.0394 | Source API (Live)
2025-10-31 21:26:02,380 - \u2705 Success | Error 0.0393 | Source API (Live)
2025-10-31 21:26:22,294 - \u2705 Success | Error 0.0393 | Source API (Live)
2025-10-31 21:26:42,369 - \u2705 Success | Error 0.0393 | Source API (Live)
2025-10-31 21:27:03,024 - \u2705 Success | Error 0.0392 | Source API (Live)
2025-10-31 21:27:22,350 - \u2705 Success | Error 0.0392 | Source API (Live)
2025-10-31 21:27:42,319 - \u2705 Success | Error 0.0392 | Source API (Live)
2025-10-31 21:28:02,539 - \u2705 Success | Error 0.0392 | Source API (Live)
2025-10-31 21:28:22,883 - \u2705 Success | Error 0.0391 | Source API (Live)
2025-10-31 21:28:43,836 - \u2705 Success | Error 0.0391 | Source API (Live)
2025-10-31 21:29:02,523 - \u2705 Success | Error 0.039 | Source API (Live)
2025-10-31 21:29:22,468 - \u2705 Success | Error 0.039 | Source API (Live)
2025-10-31 21:29:42,932 - \u2705 Success | Error 0.039 | Source API (Live)
2025-10-31 21:30:02,469 - \u2705 Success | Error 0.0389 | Source API (Live)
2025-10-31 21:30:23,512 - \u2705 Success | Error 0.0389 | Source API (Live)
2025-10-31 21:30:42,514 - \u2705 Success | Error 0.0389 | Source API (Live)
2025-10-31 21:31:02,813 - \u2705 Success | Error 0.0388 | Source API (Live)
2025-10-31 21:31:22,384 - \u2705 Success | Error 0.0388 | Source API (Live)
2025-10-31 21:31:42,758 - \u2705 Success | Error 0.0387 | Source API (Live)
2025-10-31 21:32:02,513 - \u2705 Success | Error 0.0387 | Source API (Live)
2025-10-31 21:32:22,565 - \u2705 Success | Error 0.0387 | Source API (Live)
2025-10-31 21:32:42,402 - \u2705 Success | Error 0.0386 | Source API (Live)
2025-10-31 21:33:03,140 - \u2705 Success | Error 0.0386 | Source API (Live)
2025-10-31 21:33:22,605 - \u2705 Success | Error 0.0385 | Source API (Live)
2025-10-31 21:33:43,214 - \u2705 Success | Error 0.0385 | Source API (Live)
2025-10-31 21:34:02,634 - \u2705 Success | Error 0.0385 | Source API (Live)
2025-10-31 21:34:23,147 - \u2705 Success | Error 0.0384 | Source API (Live)
2025-10-31 21:34:42,557 - \u2705 Success | Error 0.0384 | Source API (Live)
2025-10-31 21:35:02,655 - \u2705 Success | Error 0.0383 | Source API (Live)
2025-10-31 21:35:22,645 - \u2705 Success | Error 0.0383 | Source API (Live)
2025-10-31 21:35:42,551 - \u2705 Success | Error 0.0383 | Source API (Live)
2025-10-31 21:36:02,760 - \u2705 Success | Error 0.0382 | Source API (Live)
2025-10-31 21:36:23,429 - \u2705 Success | Error 0.0382 | Source API (Live)
2025-10-31 21:36:42,935 - \u2705 Success | Error 0.0381 | Source API (Live)
2025-10-31 21:37:02,870 - \u2705 Success | Error 0.0381 | Source API (Live)
2025-10-31 21:37:22,899 - \u2705 Success | Error 0.038 | Source API (Live)
2025-10-31 21:37:42,728 - \u2705 Success | Error 0.038 | Source API (Live)
2025-10-31 21:38:02,585 - \u2705 Success | Error 0.038 | Source API (Live)
2025-10-31 21:38:22,667 - \u2705 Success | Error 0.0379 | Source API (Live)
2025-10-31 21:38:42,599 - \u2705 Success | Error 0.0379 | Source API (Live)
2025-10-31 21:39:02,616 - \u2705 Success | Error 0.0378 | Source API (Live)
2025-10-31 21:39:22,790 - \u2705 Success | Error 0.0378 | Source API (Live)
2025-10-31 21:39:42,618 - \u2705 Success | Error 0.0377 | Source API (Live)
2025-10-31 21:40:02,634 - \u2705 Success | Error 0.0377 | Source API (Live)
2025-10-31 21:40:23,309 - \u2705 Success | Error 0.0376 | Source API (Live)
2025-10-31 21:40:43,123 - \u2705 Success | Error 0.0376 | Source API (Live)
2025-10-31 21:41:02,675 - \u2705 Success | Error 0.0376 | Source API (Live)
2025-10-31 21:41:22,759 - \u2705 Success | Error 0.0375 | Source API (Live)
2025-10-31 21:41:42,805 - \u2705 Success | Error 0.0375 | Source API (Live)
2025-10-31 21:42:02,753 - \u2705 Success | Error 0.0374 | Source API (Live)
2025-10-31 21:42:22,807 - \u2705 Success | Error 0.0374 | Source API (Live)
2025-10-31 21:42:42,765 - \u2705 Success | Error 0.0373 | Source API (Live)
2025-10-31 21:43:03,885 - \u2705 Success | Error 0.0373 | Source API (Live)
2025-10-31 21:43:22,844 - \u2705 Success | Error 0.0373 | Source API (Live)
2025-10-31 21:43:42,837 - \u2705 Success | Error 0.0372 | Source API (Live)
2025-10-31 21:44:03,056 - \u2705 Success | Error 0.0372 | Source API (Live)
2025-10-31 21:44:23,054 - \u2705 Success | Error 0.0371 | Source API (Live)
2025-10-31 21:44:42,873 - \u2705 Success | Error 0.0371 | Source API (Live)
2025-10-31 21:45:02,959 - \u2705 Success | Error 0.037 | Source API (Live)
2025-10-31 21:45:24,682 - \u2705 Success | Error 0.037 | Source API (Live)
2025-10-31 21:45:43,695 - \u2705 Success | Error 0.0369 | Source API (Live)
2025-10-31 21:46:02,790 - \u2705 Success | Error 0.0369 | Source API (Live)
2025-10-31 21:46:22,898 - \u2705 Success | Error 0.0369 | Source API (Live)
2025-10-31 21:46:42,787 - \u2705 Success | Error 0.0368 | Source API (Live)
2025-10-31 21:47:02,932 - \u2705 Success | Error 0.0368 | Source API (Live)
2025-10-31 21:47:22,985 - \u2705 Success | Error 0.0367 | Source API (Live)
2025-10-31 21:47:43,214 - \u2705 Success | Error 0.0367 | Source API (Live)
2025-10-31 21:48:03,970 - \u2705 Success | Error 0.0366 | Source API (Live)
2025-10-31 21:48:22,917 - \u2705 Success | Error 0.0366 | Source API (Live)
2025-10-31 21:48:42,844 - \u2705 Success | Error 0.0366 | Source API (Live)
2025-10-31 21:49:02,901 - \u2705 Success | Error 0.0365 | Source API (Live)
2025-10-31 21:49:22,852 - \u2705 Success | Error 0.0365 | Source API (Live)
2025-10-31 21:49:42,868 - \u2705 Success | Error 0.0364 | Source API (Live)
2025-10-31 21:50:03,360 - \u2705 Success | Error 0.0364 | Source API (Live)
2025-10-31 21:50:22,864 - \u2705 Success | Error 0.0363 | Source API (Live)
2025-10-31 21:50:42,884 - \u2705 Success | Error 0.0363 | Source API (Live)
2025-10-31 21:51:02,900 - \u2705 Success | Error 0.0363 | Source API (Live)
2025-10-31 21:51:22,901 - \u2705 Success | Error 0.0362 | Source API (Live)
2025-10-31 21:51:42,879 - \u2705 Success | Error 0.0362 | Source API (Live)
2025-10-31 21:52:02,916 - \u2705 Success | Error 0.0361 | Source API (Live)
2025-10-31 21:52:23,839 - \u2705 Success | Error 0.0361 | Source API (Live)
2025-10-31 21:52:43,505 - \u2705 Success | Error 0.036 | Source API (Live)
2025-10-31 21:53:04,867 - \u2705 Success | Error 0.036 | Source API (Live)
2025-10-31 21:53:23,968 - \u2705 Success | Error 0.036 | Source API (Live)
2025-10-31 21:53:43,838 - \u2705 Success | Error 0.0359 | Source API (Live)
2025-10-31 21:54:02,946 - \u2705 Success | Error 0.0359 | Source API (Live)
2025-10-31 21:54:22,960 - \u2705 Success | Error 0.0358 | Source API (Live)
2025-10-31 21:54:42,999 - \u2705 Success | Error 0.0358 | Source API (Live)
2025-10-31 21:55:03,000 - \u2705 Success | Error 0.0357 | Source API (Live)
2025-10-31 21:55:23,092 - \u2705 Success | Error 0.0357 | Source API (Live)
2025-10-31 21:55:43,332 - \u2705 Success | Error 0.0357 | Source API (Live)
2025-10-31 21:56:03,128 - \u2705 Success | Error 0.0356 | Source API (Live)
2025-10-31 21:56:23,372 - \u2705 Success | Error 0.0356 | Source API (Live)
2025-10-31 21:56:43,445 - \u2705 Success | Error 0.0355 | Source API (Live)
2025-10-31 21:57:03,168 - \u2705 Success | Error 0.0355 | Source API (Live)
2025-10-31 21:57:23,715 - \u2705 Success | Error 0.0354 | Source API (Live)
2025-10-31 21:57:43,096 - \u2705 Success | Error 0.0354 | Source API (Live)
2025-10-31 21:58:03,431 - \u2705 Success | Error 0.0354 | Source API (Live)
2025-10-31 21:58:23,258 - \u2705 Success | Error 0.0353 | Source API (Live)
2025-10-31 21:58:43,134 - \u2705 Success | Error 0.0353 | Source API (Live)
2025-10-31 21:59:05,572 - \u2705 Success | Error 0.0352 | Source API (Live)
2025-10-31 21:59:23,153 - \u2705 Success | Error 0.0352 | Source API (Live)
2025-10-31 21:59:43,041 - \u2705 Success | Error 0.0352 | Source API (Live)
2025-10-31 22:00:04,130 - \u2705 Success | Error 0.0255 | Source API (Live)
2025-10-31 22:00:23,545 - \u2705 Success | Error 0.0225 | Source API (Live)
2025-10-31 22:00:43,227 - \u2705 Success | Error 0.0197 | Source API (Live)
2025-10-31 22:01:03,873 - \u2705 Success | Error 0.0171 | Source API (Live)
2025-10-31 22:01:23,442 - \u2705 Success | Error 0.0146 | Source API (Live)
2025-10-31 22:01:43,374 - \u2705 Success | Error 0.0122 | Source API (Live)
2025-10-31 22:02:04,105 - \u2705 Success | Error 0.0099 | Source API (Live)
2025-10-31 22:02:23,733 - \u2705 Success | Error 0.0078 | Source API (Live)
2025-10-31 22:02:43,434 - \u2705 Success | Error 0.0057 | Source API (Live)
2025-10-31 22:03:03,313 - \u2705 Success | Error 0.0038 | Source API (Live)
2025-10-31 22:03:23,958 - \u2705 Success | Error 0.002 | Source API (Live)
2025-10-31 22:03:43,322 - \u2705 Success | Error 0.0003 | Source API (Live)
2025-10-31 22:04:03,200 - \u2705 Success | Error 0.0013 | Source API (Live)
2025-10-31 22:04:23,314 - \u2705 Success | Error 0.0029 | Source API (Live)
2025-10-31 22:04:43,262 - \u2705 Success | Error 0.0043 | Source API (Live)
2025-10-31 22:05:03,742 - \u2705 Success | Error 0.0057 | Source API (Live)
2025-10-31 22:05:23,293 - \u2705 Success | Error 0.007 | Source API (Live)
2025-10-31 22:05:43,319 - \u2705 Success | Error 0.0083 | Source API (Live)
2025-10-31 22:06:03,295 - \u2705 Success | Error 0.0094 | Source API (Live)
2025-10-31 22:06:23,384 - \u2705 Success | Error 0.0105 | Source API (Live)
2025-10-31 22:06:43,425 - \u2705 Success | Error 0.0116 | Source API (Live)
2025-10-31 22:07:03,347 - \u2705 Success | Error 0.0126 | Source API (Live)
2025-10-31 22:07:24,390 - \u2705 Success | Error 0.0135 | Source API (Live)
2025-10-31 22:07:43,225 - \u2705 Success | Error 0.0144 | Source API (Live)
2025-10-31 22:08:03,376 - \u2705 Success | Error 0.0153 | Source API (Live)
2025-10-31 22:08:23,524 - \u2705 Success | Error 0.0161 | Source API (Live)
2025-10-31 22:08:43,383 - \u2705 Success | Error 0.0168 | Source API (Live)
2025-10-31 22:09:03,832 - \u2705 Success | Error 0.0365 | Source API (Live)
2025-10-31 22:09:23,873 - \u2705 Success | Error 0.0141 | Source API (Live)
2025-10-31 22:09:43,890 - \u2705 Success | Error 0.015 | Source API (Live)
2025-10-31 22:10:04,428 - \u2705 Success | Error 0.0158 | Source API (Live)
2025-11-01 01:12:18,709 - \u2705 Success | Error 1.3122 | Source API (Live)
2025-11-01 01:12:38,385 - \u2705 Success | Error 1.114 | Source API (Live)
2025-11-01 01:12:58,434 - \u2705 Success | Error 0.9641 | Source API (Live)
2025-11-01 01:13:18,422 - \u2705 Success | Error 0.8353 | Source API (Live)
2025-11-01 01:13:38,379 - \u2705 Success | Error 0.7245 | Source API (Live)
2025-11-01 01:13:58,436 - \u2705 Success | Error 0.6291 | Source API (Live)
2025-11-01 01:14:18,460 - \u2705 Success | Error 0.5469 | Source API (Live)
2025-11-01 01:14:38,476 - \u2705 Success | Error 0.476 | Source API (Live)
2025-11-01 01:14:58,544 - \u2705 Success | Error 0.4148 | Source API (Live)
2025-11-01 01:15:18,407 - \u2705 Success | Error 0.362 | Source API (Live)
2025-11-01 01:15:38,486 - \u2705 Success | Error 0.3163 | Source API (Live)
2025-11-01 01:15:58,467 - \u2705 Success | Error 0.2768 | Source API (Live)
2025-11-01 01:16:18,457 - \u2705 Success | Error 0.2425 | Source API (Live)
2025-11-01 01:16:38,486 - \u2705 Success | Error 0.2129 | Source API (Live)
2025-11-01 01:16:58,354 - \u2705 Success | Error 0.1871 | Source API (Live)
2025-11-01 01:17:18,631 - \u2705 Success | Error 0.1648 | Source API (Live)
2025-11-01 01:17:38,701 - \u2705 Success | Error 0.1454 | Source API (Live)
2025-11-01 01:17:58,497 - \u2705 Success | Error 0.1285 | Source API (Live)
2025-11-01 01:18:18,489 - \u2705 Success | Error 0.1139 | Source API (Live)
2025-11-01 01:18:38,611 - \u2705 Success | Error 0.1011 | Source API (Live)
2025-11-01 01:18:58,472 - \u2705 Success | Error 0.09 | Source API (Live)
2025-11-01 01:19:18,652 - \u2705 Success | Error 0.0803 | Source API (Live)
2025-11-01 01:19:38,613 - \u2705 Success | Error 0.0718 | Source API (Live)
2025-11-01 01:19:58,583 - \u2705 Success | Error 0.0644 | Source API (Live)
2025-11-01 01:20:18,508 - \u2705 Success | Error 0.058 | Source API (Live)
2025-11-01 01:20:38,480 - \u2705 Success | Error 0.0524 | Source API (Live)
2025-11-01 01:20:58,543 - \u2705 Success | Error 0.0474 | Source API (Live)
2025-11-01 01:21:18,664 - \u2705 Success | Error 0.0431 | Source API (Live)
2025-11-01 01:21:38,576 - \u2705 Success | Error 0.0394 | Source API (Live)
2025-11-01 01:21:58,600 - \u2705 Success | Error 0.0361 | Source API (Live)
2025-11-01 01:22:18,505 - \u2705 Success | Error 0.0332 | Source API (Live)
2025-11-01 01:22:38,742 - \u2705 Success | Error 0.0307 | Source API (Live)
2025-11-01 01:22:58,812 - \u2705 Success | Error 0.0284 | Source API (Live)
2025-11-01 01:23:18,674 - \u2705 Success | Error 0.0265 | Source API (Live)
2025-11-01 01:23:38,647 - \u2705 Success | Error 0.0248 | Source API (Live)
2025-11-01 01:23:58,823 - \u2705 Success | Error 0.0233 | Source API (Live)
2025-11-01 01:24:18,689 - \u2705 Success | Error 0.022 | Source API (Live)
2025-11-01 01:24:38,755 - \u2705 Success | Error 0.0208 | Source API (Live)
2025-11-01 01:24:58,833 - \u2705 Success | Error 0.0198 | Source API (Live)
2025-11-01 01:25:18,699 - \u2705 Success | Error 0.0189 | Source API (Live)
2025-11-01 01:25:38,768 - \u2705 Success | Error 0.0181 | Source API (Live)
2025-11-01 01:25:58,735 - \u2705 Success | Error 0.0174 | Source API (Live)
2025-11-01 01:26:18,703 - \u2705 Success | Error 0.0168 | Source API (Live)
2025-11-01 01:26:38,773 - \u2705 Success | Error 0.0163 | Source API (Live)
2025-11-01 01:26:58,839 - \u2705 Success | Error 0.0158 | Source API (Live)
2025-11-01 01:27:18,764 - \u2705 Success | Error 0.0154 | Source API (Live)
2025-11-01 01:27:39,087 - \u2705 Success | Error 0.0151 | Source API (Live)
2025-11-01 01:27:58,749 - \u2705 Success | Error 0.0148 | Source API (Live)
2025-11-01 01:28:18,806 - \u2705 Success | Error 0.0145 | Source API (Live)
2025-11-01 01:28:38,892 - \u2705 Success | Error 0.0142 | Source API (Live)
2025-11-01 01:28:58,800 - \u2705 Success | Error 0.014 | Source API (Live)
2025-11-01 01:29:18,772 - \u2705 Success | Error 0.0139 | Source API (Live)
2025-11-01 01:29:38,730 - \u2705 Success | Error 0.0137 | Source API (Live)
2025-11-01 01:29:58,840 - \u2705 Success | Error 0.0136 | Source API (Live)
2025-11-01 01:30:18,834 - \u2705 Success | Error 0.0134 | Source API (Live)
2025-11-01 01:30:38,907 - \u2705 Success | Error 0.0133 | Source API (Live)
2025-11-01 01:30:58,783 - \u2705 Success | Error 0.0132 | Source API (Live)
2025-11-01 01:31:18,948 - \u2705 Success | Error 0.0132 | Source API (Live)
2025-11-01 01:31:38,926 - \u2705 Success | Error 0.0131 | Source API (Live)
2025-11-01 01:31:58,886 - \u2705 Success | Error 0.0131 | Source API (Live)
2025-11-01 01:32:18,980 - \u2705 Success | Error 0.013 | Source API (Live)
2025-11-01 01:32:38,774 - \u2705 Success | Error 0.013 | Source API (Live)
2025-11-01 01:32:59,216 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:33:18,958 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:33:38,927 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:33:58,785 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:34:18,840 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:34:38,935 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:34:58,901 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:35:18,977 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:35:39,048 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:35:59,017 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:36:18,993 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:36:38,949 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:36:58,779 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:37:19,096 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:37:39,065 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-11-01 01:37:59,034 - \u2705 Success | Error 0.013 | Source API (Live)
2025-11-01 01:38:18,993 - \u2705 Success | Error 0.013 | Source API (Live)
2025-11-01 01:38:39,070 - \u2705 Success | Error 0.013 | Source API (Live)
2025-11-01 01:38:59,046 - \u2705 Success | Error 0.013 | Source API (Live)
2025-11-01 01:39:19,009 - \u2705 Success | Error 0.013 | Source API (Live)
2025-11-01 01:39:38,974 - \u2705 Success | Error 0.0131 | Source API (Live)
2025-11-01 01:39:59,050 - \u2705 Success | Error 0.0131 | Source API (Live)
2025-11-01 01:40:19,115 - \u2705 Success | Error 0.0131 | Source API (Live)
2025-11-01 01:40:39,093 - \u2705 Success | Error 0.0131 | Source API (Live)
2025-11-01 01:40:59,051 - \u2705 Success | Error 0.0131 | Source API (Live)
2025-11-01 01:41:19,122 - \u2705 Success | Error 0.0132 | Source API (Live)
2025-11-01 01:41:39,094 - \u2705 Success | Error 0.0132 | Source API (Live)
2025-11-01 01:41:58,994 - \u2705 Success | Error 0.0132 | Source API (Live)
2025-11-01 01:42:19,132 - \u2705 Success | Error 0.0132 | Source API (Live)
2025-11-01 01:42:39,099 - \u2705 Success | Error 0.0132 | Source API (Live)
2025-11-01 01:42:59,068 - \u2705 Success | Error 0.0133 | Source API (Live)
2025-11-01 01:43:19,031 - \u2705 Success | Error 0.0133 | Source API (Live)
2025-11-01 01:43:38,940 - \u2705 Success | Error 0.0133 | Source API (Live)
2025-11-01 01:43:59,182 - \u2705 Success | Error 0.0133 | Source API (Live)
2025-11-01 01:44:19,251 - \u2705 Success | Error 0.0133 | Source API (Live)
2025-11-01 01:44:39,115 - \u2705 Success | Error 0.0134 | Source API (Live)
2025-11-01 01:44:59,185 - \u2705 Success | Error 0.0134 | Source API (Live)
2025-11-01 01:45:19,153 - \u2705 Success | Error 0.0134 | Source API (Live)
2025-11-01 01:45:39,228 - \u2705 Success | Error 0.0134 | Source API (Live)
2025-11-01 01:45:59,199 - \u2705 Success | Error 0.0134 | Source API (Live)
2025-11-01 01:46:19,164 - \u2705 Success | Error 0.0135 | Source API (Live)
2025-11-01 01:46:39,196 - \u2705 Success | Error 0.0135 | Source API (Live)
2025-11-01 01:46:59,160 - \u2705 Success | Error 0.0135 | Source API (Live)
2025-11-01 01:47:19,171 - \u2705 Success | Error 0.0135 | Source API (Live)
2025-11-01 01:47:39,239 - \u2705 Success | Error 0.0135 | Source API (Live)
2025-11-01 01:47:59,208 - \u2705 Success | Error 0.0136 | Source API (Live)
2025-11-01 01:48:19,054 - \u2705 Success | Error 0.0136 | Source API (Live)
2025-11-01 01:48:39,247 - \u2705 Success | Error 0.0136 | Source API (Live)
2025-11-01 07:11:14,142 - \u2705 Success | Error 0.0798 | Source API (Live)
2025-11-01 07:11:34,305 - \u2705 Success | Error 0.077 | Source API (Live)
2025-11-01 07:11:54,379 - \u2705 Success | Error 0.0744 | Source API (Live)
2025-11-01 07:12:14,445 - \u2705 Success | Error 0.0719 | Source API (Live)
2025-11-01 07:12:34,320 - \u2705 Success | Error 0.0695 | Source API (Live)
2025-11-01 07:12:54,227 - \u2705 Success | Error 0.0673 | Source API (Live)
2025-11-01 07:13:14,348 - \u2705 Success | Error 0.0652 | Source API (Live)
2025-11-01 07:13:34,316 - \u2705 Success | Error 0.0631 | Source API (Live)
2025-11-01 07:13:54,289 - \u2705 Success | Error 0.0612 | Source API (Live)
2025-11-01 07:14:14,321 - \u2705 Success | Error 0.0593 | Source API (Live)
2025-11-01 07:14:34,232 - \u2705 Success | Error 0.0576 | Source API (Live)
2025-11-01 07:14:54,234 - \u2705 Success | Error 0.0559 | Source API (Live)
2025-11-01 07:15:14,370 - \u2705 Success | Error 0.0543 | Source API (Live)
2025-11-01 07:15:34,438 - \u2705 Success | Error 0.0528 | Source API (Live)
2025-11-01 07:15:54,187 - \u2705 Success | Error 0.0514 | Source API (Live)
2025-11-01 07:16:14,241 - \u2705 Success | Error 0.05 | Source API (Live)
2025-11-01 07:16:34,238 - \u2705 Success | Error 0.0487 | Source API (Live)
2025-11-01 07:16:54,448 - \u2705 Success | Error 0.0475 | Source API (Live)
2025-11-01 07:17:14,440 - \u2705 Success | Error 0.0463 | Source API (Live)
2025-11-01 07:17:34,452 - \u2705 Success | Error 0.0452 | Source API (Live)
2025-11-01 07:17:54,429 - \u2705 Success | Error 0.0441 | Source API (Live)
2025-11-01 07:18:14,392 - \u2705 Success | Error 0.0431 | Source API (Live)
2025-11-01 07:18:34,356 - \u2705 Success | Error 0.0421 | Source API (Live)
2025-11-01 07:18:54,402 - \u2705 Success | Error 0.0412 | Source API (Live)
2025-11-01 07:19:14,374 - \u2705 Success | Error 0.0403 | Source API (Live)
2025-11-01 07:19:34,469 - \u2705 Success | Error 0.0394 | Source API (Live)
2025-11-01 07:19:54,451 - \u2705 Success | Error 0.0386 | Source API (Live)
2025-11-01 07:20:14,642 - \u2705 Success | Error 0.0379 | Source API (Live)
2025-11-01 07:20:34,513 - \u2705 Success | Error 0.0372 | Source API (Live)
2025-11-01 07:20:54,449 - \u2705 Success | Error 0.0365 | Source API (Live)
2025-11-01 07:21:14,500 - \u2705 Success | Error 0.0358 | Source API (Live)
2025-11-01 07:21:34,592 - \u2705 Success | Error 0.0352 | Source API (Live)
2025-11-01 07:21:54,554 - \u2705 Success | Error 0.0346 | Source API (Live)
2025-11-01 07:22:14,520 - \u2705 Success | Error 0.034 | Source API (Live)
2025-11-01 07:22:34,590 - \u2705 Success | Error 0.0335 | Source API (Live)
2025-11-01 07:22:54,474 - \u2705 Success | Error 0.0329 | Source API (Live)
2025-11-01 07:23:14,530 - \u2705 Success | Error 0.0324 | Source API (Live)
2025-11-01 07:23:34,605 - \u2705 Success | Error 0.032 | Source API (Live)
2025-11-01 07:23:54,569 - \u2705 Success | Error 0.0315 | Source API (Live)
2025-11-01 07:24:14,540 - \u2705 Success | Error 0.0311 | Source API (Live)
2025-11-01 07:24:34,616 - \u2705 Success | Error 0.0307 | Source API (Live)
2025-11-01 07:24:54,580 - \u2705 Success | Error 0.0303 | Source API (Live)
2025-11-01 07:25:14,629 - \u2705 Success | Error 0.0299 | Source API (Live)
2025-11-01 07:25:34,623 - \u2705 Success | Error 0.0295 | Source API (Live)
2025-11-01 07:25:54,586 - \u2705 Success | Error 0.0292 | Source API (Live)
2025-11-01 07:26:14,555 - \u2705 Success | Error 0.0289 | Source API (Live)
2025-11-01 07:26:34,530 - \u2705 Success | Error 0.0286 | Source API (Live)
2025-11-01 07:26:54,698 - \u2705 Success | Error 0.0283 | Source API (Live)
2025-11-01 07:27:14,582 - \u2705 Success | Error 0.028 | Source API (Live)
